duration_h,return_period_y,return_level_hist_mm,return_level_future_mm,change_pct,change_pct_ci_lo,change_pct_ci_hi,change_pct_per_k
1,2.0,9.272703981555898,10.08654998267752,9.223379822428978,8.541915891354245,9.012136143240078,9.923011044889087
1,5.0,13.537535012800218,15.20102535800895,12.748988052605647,12.142256718201372,12.429822814825197,13.716051132311373
1,10.0,16.86941216285135,19.301666303995553,14.88788007154751,14.206608187475828,14.650443405009689,16.01718689126311
1,20.0,20.508513811195503,23.873043659906696,16.883434612309188,16.03344452233361,16.829005299518872,18.164112435899508
3,2.0,17.064077659229547,18.486766255503234,8.466275053984473,8.120384563159183,8.533665717672305,9.108476771764625
3,5.0,23.9153137556897,26.566337754959353,11.217262612017098,10.971416478473321,11.197958233467489,12.068138029162702
3,10.0,29.005395870582472,32.701367797079996,12.876547084569179,12.537200667267694,12.976978536273291,13.85328604049237
3,20.0,34.34907728069528,39.25352267961331,14.414260201380657,13.896886424808073,14.702269752251086,15.507641009685509
6,2.0,22.529693256354278,24.095629108784422,6.721134369073289,6.741846984788171,7.130116744765358,7.2309600019197795
6,5.0,30.71265163112329,33.476879192597856,8.766484918643691,8.872950388411196,9.112188981083658,9.431458787050815
6,10.0,36.77785809257526,40.51225131234397,9.91763798764862,9.942788878045182,10.368662843745565,10.669931541942269
6,20.0,43.13349525468183,47.95277843749438,10.934483515347026,10.804277220841742,11.55496396720548,11.763908977172743
12,2.0,28.868916078481917,30.309263216290837,4.730794295228979,4.8108198587723665,5.151213912236056,5.089644462922358
12,5.0,38.62755808059519,40.64373715113091,4.960496376986723,5.1052018607175045,5.3309286365450905,5.336770390532248
12,10.0,45.79050824228805,48.21263163111628,5.030363786037562,5.100824800518508,5.510478944315911,5.411937529372539
12,20.0,53.23919200070831,56.0698208956612,5.057535633663468,5.005463584964877,5.703900542303285,5.441170473184117
24,2.0,36.450534827129175,37.21131119131083,2.3915407124706523,1.918818454701658,2.2266870051083663,2.5729488930337214
24,5.0,48.30462258658618,49.02726293850891,1.7986373986138338,1.4008213724817997,1.6040715444199105,1.935071428891389
24,10.0,56.882529378319745,57.39467163944629,1.2012054271092643,0.7251103509293599,1.0930266773215538,1.2923217898281154
24,20.0,65.70335525906945,65.85434923297308,0.5286670267001359,-0.06799227542754054,0.5616859492638343,0.5687685909082074
